Stock,Date,Open,High,Low,Close,Adj Close,Volume
Apple,18/07/1989,1.455357,1.455357,1.383929,1.401786,0.113468,119327600
Apple,19/07/1989,1.410714,1.455357,1.392857,1.446429,0.117081,59743600
Apple,20/07/1989,1.455357,1.473214,1.419643,1.428571,0.115636,59018400
Apple,21/07/1989,1.419643,1.428571,1.392857,1.428571,0.115636,34871200
Apple,24/07/1989,1.419643,1.419643,1.401786,1.401786,0.113468,28996800
Apple,25/07/1989,1.401786,1.419643,1.357143,1.383929,0.112022,52460800
Apple,26/07/1989,1.366071,1.375,1.348214,1.366071,0.110577,58436000
Apple,27/07/1989,1.366071,1.410714,1.357143,1.401786,0.113468,43268400
Apple,28/07/1989,1.401786,1.419643,1.392857,1.40625,0.113829,29834000
Apple,31/07/1989,1.401786,1.428571,1.392857,1.419643,0.114913,27966400
Apple,01/08/1989,1.419643,1.4375,1.401786,1.424107,0.115274,34885200
Apple,02/08/1989,1.419643,1.446429,1.410714,1.446429,0.117081,25351200
Apple,03/08/1989,1.446429,1.482143,1.446429,1.473214,0.119249,43234800
Apple,04/08/1989,1.473214,1.526786,1.46875,1.526786,0.123586,45838800
Apple,07/08/1989,1.535714,1.571429,1.522321,1.5625,0.126476,42053200
Apple,08/08/1989,1.553571,1.598214,1.553571,1.575893,0.127561,51548000
Apple,09/08/1989,1.571429,1.633929,1.566964,1.571429,0.127199,48790000
Apple,10/08/1989,1.571429,1.571429,1.526786,1.544643,0.125031,38091200
Apple,11/08/1989,1.571429,1.571429,1.473214,1.495536,0.121056,57520400
Apple,14/08/1989,1.482143,1.5,1.446429,1.455357,0.117804,25706800
Apple,15/08/1989,1.455357,1.482143,1.455357,1.477679,0.119611,40933200
Apple,16/08/1989,1.482143,1.491071,1.428571,1.441964,0.11672,30133600
Apple,17/08/1989,1.4375,1.473214,1.428571,1.464286,0.118527,38329200
Apple,18/08/1989,1.491071,1.517857,1.482143,1.508929,0.12214,21016800
Apple,21/08/1989,1.508929,1.544643,1.5,1.508929,0.130809,34456800
Apple,22/08/1989,1.5,1.535714,1.5,1.53125,0.132744,27958000
Apple,23/08/1989,1.535714,1.580357,1.517857,1.5625,0.135453,43411200
Apple,24/08/1989,1.5625,1.589286,1.553571,1.575893,0.136614,40731600
Apple,25/08/1989,1.571429,1.607143,1.571429,1.598214,0.138549,40348000
Apple,28/08/1989,1.589286,1.607143,1.571429,1.598214,0.138549,20414800
Apple,29/08/1989,1.598214,1.607143,1.5625,1.575893,0.136614,44226000
Apple,30/08/1989,1.571429,1.598214,1.571429,1.589286,0.137775,29024800
